Allele
TBPB_20
TBPB_34
TBPB_36
TBPB_70
TBPB_72
TBPB_83
TBPB_97
TBPB_99
TBPB_100
TBPB_101
TBPB_114
TBPB_126
TBPB_138
TBPB_140
TBPB_148
TBPB_164
TBPB_189
TBPB_196
TBPB_198
TBPB_199
TBPB_210
TBPB_216
TBPB_219
TBPB_226
TBPB_238
TBPB_251
TBPB_257
TBPB_264
TBPB_277
TBPB_280
TBPB_295
TBPB_299
TBPB_300
TBPB_301
TBPB_304
TBPB_320
TBPB_325
TBPB_338
TBPB_373
TBPB_384
TBPB_393
TBPB_414
TBPB_471
TBPB_475
TBPB_481
TBPB_488
TBPB_507
TBPB_532
TBPB_571
TBPB_581
TBPB_588
TBPB_589
TBPB_634
TBPB_643
TBPB_644
TBPB_645
TBPB_646
TBPB_647
TBPB_648
TBPB_652
TBPB_654
TBPB_655
TBPB_674
TBPB_720
TBPB_731
TBPB_767
TBPB_801
TBPB_802
TBPB_803
TBPB_804
TBPB_806
TBPB_852
TBPB_902
TBPB_903
TBPB_937
TBPB_938
TBPB_943
TBPB_955
TBPB_986
TBPB_994
TBPB_1011
TBPB_1015
TBPB_1034
TBPB_1054
TBPB_1055
TBPB_1153
TBPB_1157
TBPB_1182
TBPB_1198
TBPB_1203
TBPB_1215
TBPB_1216
TBPB_1217
TBPB_1227
TBPB_1228
TBPB_1235
TBPB_1239
TBPB_1246
TBPB_1249
TBPB_1252
TBPB_1268
TBPB_1274
TBPB_1278
TBPB_1291
TBPB_1292
TBPB_1297
TBPB_1303
TBPB_1318
TBPB_1375
TBPB_1380
TBPB_1388
TBPB_1402
TBPB_1418
TBPB_1425
TBPB_1479
TBPB_1496
TBPB_1514
TBPB_1515
TBPB_1574
TBPB_1582
TBPB_1611
TBPB_1612
TBPB_1613
TBPB_1614
TBPB_1615
TBPB_1616
TBPB_1629
TBPB_1662
TBPB_1670
TBPB_1712
TBPB_1719
TBPB_1721
TBPB_1756
TBPB_1787
TBPB_1810
TBPB_1822
TBPB_1831
TBPB_1851
TBPB_1853
TBPB_1870
TBPB_1904
TBPB_1914
TBPB_1918
TBPB_1927
TBPB_1946
TBPB_1961
TBPB_1966
TBPB_1992
TBPB_2041
TBPB_2060
TBPB_2080
TBPB_2081
TBPB_2096
TBPB_2098
TBPB_2161
TBPB_2164
TBPB_2168
TBPB_2175
TBPB_2182
TBPB_2185
TBPB_2189
TBPB_2207
TBPB_2209
TBPB_2212
TBPB_2219
TBPB_2223
TBPB_2225
TBPB_2226
TBPB_2227
TBPB_2230
TBPB_2231
TBPB_2255
TBPB_2273
TBPB_2311
TBPB_2312
TBPB_2313
TBPB_2314
TBPB_2315
TBPB_2349
TBPB_2393
TBPB_2394
TBPB_2412
TBPB_2416
TBPB_2430
TBPB_2439
TBPB_2447
TBPB_2455
TBPB_2484
TBPB_2520
TBPB_2528
TBPB_2545
TBPB_2552
TBPB_2589
TBPB_2600
TBPB_2636
TBPB_2640
TBPB_2722
TBPB_2734
TBPB_2735
TBPB_2751
TBPB_2869
POR_903
POR_1470
POR_1941
POR_1943
POR_2579
POR_2723
POR_2999
POR_4125
POR_4402
POR_5909
POR_9604
