INC,MIC,Interp
-9,0.002,S
-8,0.004,S
-7,0.008,S
-6,0.016,S
-5,0.031,S
-4,0.062,S
-3,0.125,S
-2,0.25,S
-1,0.5,S
0,1,S
1,2,R
2,4,R
3,8,R
4,16,R
5,32,R
6,64,R
7,128,R
8,256,R
9,512,R
