INC,MIC,Interp
-9,0.002,S
-8,0.004,S
-7,0.008,S
-6,0.016,S
-5,0.031,S
-4,0.062,S
-3,0.125,DS
-2,0.25,DS
-1,0.5,DS
0,1,DS
1,2,DS
2,4,DS
3,8,DS
4,16,DS
5,32,DS
6,64,DS
7,128,DS
8,256,DS
