Serogroup
1
2
3
4
5
8
01
02
03
04
05
08
13
14
20
21
24
27
29
31
34
36
37
38
39
40
16F
16A
17A
17F
10D
32A
32F
Swiss_NT
Swiss_NT
Swiss(NT)
Alternative-aliB(NT)
