Allele
EMM51.0
EMM134.0
EMM134.1
EMM134.2
EMM134.3
EMM137.0
EMM138.0
EMM138.1
EMM138.2
EMM141.0
EMM141.1
EMM141.2
EMM141.3
EMM149.0
EMM149.1
EMM149.2
EMM149.3
EMM149.4
EMM149.5
EMM156.0
EMM156.1
EMM156.2
EMM156.3
EMM159.0
EMM159.1
EMM159.2
EMM159.3
EMM159.4
EMM164.0
EMM164.1
EMM164.2
EMM164.3
EMM164.4
EMM164.5
EMM164.6
EMM164.7
EMM164.8
EMM164.9
EMM164.10
EMM164.11
EMM164.12
EMM166.0
EMM166.1
EMM166.2
EMM166.3
EMM166.4
EMM167.0
EMM167.1
EMM170.0
EMM170.1
EMM170.2
EMM170.3
EMM170.4
EMM174.0
EMM174.1
EMM174.2
EMM202.0
EMM202.1
EMM202.2
EMM203.0
EMM203.1
EMM203.2
EMM203.3
EMM203.4
EMM203.5
EMM205.0
EMM205.1
EMM205.2
EMM226.0
EMM236.0
EMM236.1
EMM236.2
EMM236.3
EMM240.0
EMM240.1
EMM240.2
EMM240.3
EMM270.0
