Serotype,06_wciN_1_result,06_wciN_2_result,06_wciN_3_result,06_wciP_mutations,06_wzy_allele
6A,POS,NEG,POS,195S,NA
6B,POS,NEG,POS,195N,NA
6C,NEG,POS,NEG,195S,NA
6D,NEG,POS,NEG,195N,NA
