penA	mtrR	porB	ponA	gyrA	parC	23S	ST
14.001	29	1	100	100	7	2	179
18.001	19	4	1	7	3	8	180
2.001	19	100	1	100	2	100	181
2.001	25	3	100	100	100	100	182
2.001	9	1	100	100	100	9	183
2.001	9	1	100	100	2	100	184
2.001	9	8	100	100	100	2	185
2.002	19	8	100	1	18	100	186
2.004	25	3	100	100	100	2	187
2.005	9	100	100	100	100	100	188
2.006	43	14	100	100	100	100	189
22.001	25	100	100	100	2	100	190
14.001	29	3	100	100	7	100	191
2.001	25	3	100	100	100	1	192
2.001	39	11	100	100	100	100	193
34.001	1	8	1	1	3	100	194
34.001	44	1	1	1	3	100	195
34.001	9	11	1	1	3	100	196
61.001	1	11	1	1	3	100	197
9.001	25	16	1	100	2	100	198
5.002	1	8	1	7	3	100	199
43.002	16	13	1	7	3	100	200
18.001	19	8	1	1	9	100	201
2.002	19	8	1	7	3	1	202
18.001	1	8	1	7	15	2	203
9.001	1	8	1	1	15	100	204
15.002	25	1	100	100	2	100	205
100.001	13	100	100	100	1	100	206
2.002	11	100	100	100	2	100	207
2.001	1	13	1	1	3	100	208
12.001	1	3	1	1	3	100	209
2.001	27	1	100	100	100	2	210
2.001	39	100	100	100	100	100	211
2.001	39	14	100	100	100	100	212
2.001	39	1	100	100	100	100	213
62.001	3	1	100	100	2	2	214
1.001	5	11	100	100	1	100	215
2.001	48	100	100	100	19	10	216
14.001	49	3	100	7	20	100	217
5.002	2	8	1	1	3	100	218
2.001	46	1	100	100	1	100	219
46.001	16	3	1	100	2	100	220
21.001	47	8	1	7	21	100	221
63.001	1	100	1	100	2	2	222
2.001	9	1	100	100	100	1	223
2.001	50	1	1	100	1	2	224
5.002	1	8	1	1	3	1	225
37.001	1	8	1	2	5	100	226
64.001	51	8	1	2	5	100	227
14.001	10	10	100	100	1	100	228
2.002	10	100	100	1	3	100	229
22.006	15	100	100	100	7	100	230
2.002	42	100	100	10	2	100	231
10.001	25	12	1	2	5	100	232
60.001	1	8	1	7	3	100	233
22.001	5	1	100	100	2	100	234
22.001	25	5	1	100	2	100	235
19.001	19	5	100	100	1	100	236
100.001	5	100	100	100	1	100	237
22.001	19	14	1	100	2	100	238
22.001	25	100	100	100	1	100	239
2.001	25	1	100	100	100	100	240
2.001	9	3	100	1	3	100	241
2.001	1	11	100	100	100	100	242
