Locus_id
ermAp
ermA
ermB
ermT
mefAE
lsaC
lnuB
gyrA
parC
tetM
tetO
tetT
tetL
cat
catQ
dfrF
dfrG
pbp2x
vanA
vanB
vanC
vanD
vanE
vanG
