Locus_id
ermAp
ermA
ermB
ermT
mefAE
gyrA
parC
tetM
tetO
tetT
tetA
tetB
cat
catQ
dfrF
dfrG
msrD
folA
folP
pbp2x
vanA
vanB
vanC
vanD
vanE
vanG
